タイトル,特集名,制作年/国/時間,監督/出演,概要,上映スケジュール,料金,受賞歴,イベント情報
天国の日々 4K,,1978年/アメリカ/1h34/PG12,監督・脚本：テレンス・マリック 出演：リチャード・ギア、ブルック・アダムス、リンダ・マンズ,20世紀初頭のテキサスの農園を舞台に描く若者たちの愛と憎しみ。日没間近のマジックアワーに撮影された圧巻の映像美に、モリコーネの美しい旋律が響く。,8/2(土)～8/8(金) 14:05～(終15:44),一般1700円 / 大学・専門1300円 / シニア1100円 / 小・中・高1000円 / 会員990円,,
RETURN TO REASON／リターン・トゥ・リーズン,,2023年/フランス/1h10,監督：マン・レイ,前衛芸術家マン・レイが監督した美しいモノクロの短編4本に、ジャームッシュ率いる音楽ユニット・スクワールの繊細かつ破壊的な音楽を融合させた作品。,8/2(土)～8/8(金) 15:55～(終17:10),一般1700円 / 大学・専門1300円 / シニア1100円 / 小・中・高1000円 / 会員990円,,
教皇選挙,,2024年/アメリカ・イギリス/2h00,監督：エドワード・ベルガー 出演：レイフ・ファインズ、スタンリー・トゥッチ、イザベラ・ロッセリーニ,ローマ教皇が死去し、新教皇を決める〈コンクラーベ〉に世界各国から候補者たちが集まった。蠢く陰謀、差別、スキャンダル…。選挙の内幕に迫ったミステリー。,8/9(土)～8/15(金) 11:45～(終13:50) 8/16(土)～8/22(金) 9:30～(終11:35) 8/23(土)～8/29(金) 13:50～(終15:55),一般1800円 / 大学・専門1400円 / シニア1100円 / 小・中・高1000円 / 会員990円,アカデミー賞 脚色賞受賞、作品賞他8部門ノミネート,
リー・ミラー 彼女の瞳が映す世界,,2023年/イギリス/1h56,監督：エレン・クラス 出演：ケイト・ウィンスレット,トップモデルから報道写真家に転身したリーは、第二次世界大戦中に従軍記者として強制収容所などのスクープを収め…。実在した女性の数奇な人生を描く。,8/9(土)～8/15(金) 14:05～(終16:05),一般1700円 / 大学・専門1300円 / シニア1100円 / 小・中・高1000円 / 会員990円,ゴールデングローブ賞最優秀主演女優賞ノミネート,
訪問、あるいは記憶、そして告白,,1982年/ポルトガル/1h08,監督・脚本・出演：マノエル・ド・オリヴェイラ 出演：マリア・イザベル・ド・オリヴェイラ、ウルバノ・タヴァレス・ロドリゲス,1942年に建てられて以来、およそ40年間オリヴェイラが暮らしたポルトの家を舞台に、自身の死後発表するよう言付けられた、自らの人生を辿るドキュメンタリー作品。,8/9(土)18:40〜(終19:53),,,
カニバイシュ,,1988年/フランス、西ドイツ、イタリア、スイス/1h39,監督・脚色・台詞：マノエル・ド・オリヴェイラ出演：ルイス・ミゲル・シントラ、レオノール・シルヴェイラ、ディオゴ・ドリア,マルガリーダとアヴェレダ子爵の婚礼の夜。子爵は自らが人間でないことを告白する…。奇想天外なユーモアが炸裂するオペラ・ブッファ（喜劇的なオペラ）映画の怪作。,8/11(月・祝)18:40〜(終20:24),,,
絶望の日,,1992年/ポルトガル、フランス/1h17,監督・脚本・台詞：マノエル・ド・オリヴェイラ出演：テレーザ・マドルーガ、マリオ・バローゾ、ルイス・ミゲル・シントラ,19世紀ポルトガル文学を代表する小説家カミーロ・カステロ・ブランコ。葛藤と苦悩の末、拳銃自殺を遂げるに至った最期の日々を、生家を舞台に描く。,8/9(土)20:50〜(終22:12) 8/13(水)18:40〜(終20:02) 8/19(火)14:10〜(終15:32),,,
アブラハム渓谷 完全版,,1993年/フランス、ポルトガル、スイス/3h23,監督・脚本：マノエル・ド・オリヴェイラ 出演：レオノール・シルヴェイラ、セシル・サンス・ド・アルバ、ルイス・ミゲル・シントラ,「ボヴァリー夫人」をアグスティーナ・ベッサ＝ルイスが翻案し、原作を執筆。言葉、映像、そして音楽が自律しながら精妙かつ鮮烈に調和する「文芸映画」の最高峰。,8/10(日)、12(火)、14(木) 18:40〜(終22:08) 8/16(土)、18(月)、20(水)、22(金) 14:10〜(終17:38),,,
夜顔,,2006年/ポルトガル、フランス/1h09,監督・脚本：マノエル・ド・オリヴェイラ 出演：ミシェル・ピコリ、ビュル・オジエ、リカルド・トレパ、レオノール・バルダック,ブニュエル監督作『昼顔』の登場人物たちの38年後を描く。パリで偶然再会したアンリとセヴリーヌ。アンリは真実を打ち明けるという口実でセヴリーヌを食事に誘う…。,8/11(月・祝)21:10〜(終22:24) 8/15(金)18:40〜(終19:54) 8/19(火)15:50〜(終17:04),,,
ボサノヴァ～撃たれたピアニスト,,2023年/スペイン・フランス・オランダ・ポルトガル/1h43,監督・脚本：フェルナンド・トルエバ 監督：ハビエル・マリスカル,60年代にたった１枚のアルバムを残して失踪した実在の天才ジャズピアニスト、テノーリオ。彼の足跡を辿ってラテンアメリカの光と影を描くスリリングなアニメ。,8/16(土)～8/22(金) 17:50～(終19:38),一般1700円 / 大学・専門1300円 / シニア1100円 / 小・中・高1000円 / 会員990円,,★先着でポストカードプレゼント！
太陽（ティダ）の運命,,2025年/日本/2h09,監督：佐古忠彦,大田昌秀と翁長雄志、それぞれ国と激しく対峙した2人の沖縄県知事の姿を追ったドキュメンタリー。闘いと挫折の先に見えてくるこの国の現在地とは。,8/23(土)～8/29(金) 9:30～(終11:44),一般1700円 / 大学・専門1300円 / シニア1100円 / 小・中・高1000円 / 会員990円,,
ANORA アノーラ,,2024年/アメリカ/2h19/R18+,監督・編集・製作・脚本：ショーン・ベイカー 出演：マイキー・マディソン,ストリップダンサーのアノーラは御曹司イヴァンと出会い、衝動的に結婚するも彼の両親に阻止され…。シンデレラストーリーのその先を描く人間讃歌。,8/23(土)～8/29(金) 16:05～(終18:29),一般1700円 / 大学・専門1300円 / シニア1100円 / 小・中・高1000円 / 会員990円,カンヌ国際映画祭 パルムドールアカデミー賞 作品賞 他５部門,ショーン・ベイカー監督特集を9月上映予定！
