タイトル,特集名,制作年/国/時間,監督/出演,概要,上映スケジュール,料金,受賞歴,イベント情報
ハメット,,1982年/アメリカ/1h37,監督:ヴィム・ヴェンダース 製作総指揮:フランシス・フォード・コッポラ 出演:フレデリック・フォレスト、マリル・ヘナー、ピーター・ボイル,探偵小説をタイプし終えたハメットのもとに、探偵社時代の仲間が訪ねてくる。消えた中国娘を探す彼に頼まれチャイナタウンを案内するハメットだったが、やがて巨大な陰謀に巻き込まれていく……！！ミステリ作家ダシール・ハメット彼自身の人生と、彼の小説世界が重なりあう、現実とフィクションの狭間へようこそ。 コッポラの依頼を受け、彼とジョージ・ルーカスが設立したゾエトロープ社が製作（後に破産）し、『PERFECT DAYS』のヴィム・ヴェンダースが監督を務めた。しかし、その夢のコラボの裏側では、製作方針をめぐり、コッポラとヴェンダースが衝突。ヴェンダースのその後のフィルモグラフィーにも影響を与えた。,,,,
リヴァース・アングル：ニューヨークからの手紙,,1982年/西ドイツ/0h18,監督・製作:ヴィム・ヴェンダース,1982年3月にニューヨークで撮影された。フランスのテレビ向けに制作され、ヴェンダースが今後数年にわたって制作する予定だった一連の「日記映画」の試作となる。ヴェンダースにとって初のアメリカ映画『ハメット』制作中の日々を描き、製作者であるフランシス・フォード・コッポラも登場。,『ハメット』『リヴァース・アングル：ニューヨークからの手紙』２本立て上映,,,
カンバセーション…盗聴… 4Kレストア版,,1974年/アメリカ/1h53,監督・製作：フランシス・フォード・コッポラ 出演：ジーン・ハックマン、ジョン・カザール,人混みに呑まれながら、逢瀬を重ねている男女の盗聴。この道に長いハリーに任せれば、難しいことはなく、この日もいつもと変わらぬ仕事のはずであった。完璧主義のハリーは、一部、彼らの会話が聞き取れないことに気づき、その内容を聞き取ろうとしている内に、何か違和感に気づき始める…。音声はハリーを裏切ることはないのか？妄想か現実かが入り混じる、ネオ・ノワール・スリラー。 公開50周年を記念して、オリジナルネガからの4Kスキャンを初敢行。長年コッポラの映画で音響技師を務めたウォルター・マーチが自ら監修し、2000年に5.1chにした音声を使用、コッポラ本人が認めた文句なしのクオリティ、4Kレストア版にて上映。,3/8(土)、10(月)、12(水)、14(金)20：10〜(終22：08),,,
ワン・フロム・ザ・ハート リプライズ 4Kレストア版,,1982年/アメリカ/1h33,監督:フランシス・フォード・コッポラ 出演:フレデリック・フォレスト、テリー・ガー、ナスターシャ・キンスキー,独立記念日を間近に控えたラスベガスの街。フラニーとハンクは交際5周年記念を迎えようとしていたが些細なことから口論が発展し、フラニーは家を出ていくことに。お互いがお互いをどこかで思いながら行きずりに出会った相手と刹那的な恋に落ちていく…。 コッポラは「スタジオにラスベガスを完全再現する」という前人未到のセット撮影を敢行。ハリウッドの歴史の中でも桁外れの規模、なんと約125000個の電球を設置し16kmのネオンを生み出した！！その偉業は、自身のスタジオを倒産へと導くことに……。「歴史上最も美しく練られたサウンドトラック」と評されたトム・ウェイツ&クリスタル・ゲイルによる架空のベガスの夜を彩るサウンドトラックも必聴！！,3/9(日)、11(火)、13(木)20：10〜(終21：48),,,
海の沈黙,,2024年/日本/1h52,監督：若松節朗 原作・脚本：倉本聰 出演：本木雅弘、小泉今日子、清水美砂、仲村トオル、中井貴一,,3/8(土)～3/14(金) 9：30～(終11：25),一般1700円 / 大学・専門1300円 / シニア1100円 / 小・中・高1000円 / 会員990円,,
ガザからの報告,,2024年/日本/3h25,監督・製作・撮影・編集：土井敏邦,,3/8(土)、12(水)、14(金)11：40〜(終15：25)途中休憩あり,,,
福島は語る,,2018年/日本/2h50,監督・撮影・編集：土井敏邦,,3/10(月)11：40〜(終14：49) 途中休憩あり,,,
津島 福島は語る・第二章,,2023年/日本/3h07,監督・製作・撮影・編集：土井敏邦,,3/9(日)、11(火)、13(木)11：40〜(終15：07) 途中休憩あり,,,
ブラックバード、ブラックベリー、私は私。,,2023年/ジョージア・スイス/1h50/PG12,監督・脚本：エレネ・ナベリアニ 出演：エカ・チャブレイシュビリ、テミコ・チチナゼ,,3/8(土)～3/14(金) 15：40～(終17：35),一般1700円 / 大学・専門1300円 / シニア1100円 / 小・中・高1000円 / 会員990円,スイス映画賞2024 作品賞・脚本賞,
雨の中の慾情,,2024年/日本・台湾/2h12/R15+,監督・脚本:片山慎三 原作:つげ義春『雨の中の慾情』 出演:成田凌、中村映里子、森田剛、竹中直人,,3/8(土)～3/14(金) 17：45～(終20：00),一般1700円 / 大学・専門1300円 / シニア1100円 / 高1000円 / 会員990円,,
